old_id,slug,title,action
68261,"vos-ressources-a-telecharger","Vos ressources à télécharger","create"
67301,"important","Important","create"
67298,"le-marqueur-4","Le marqueur","create"
67218,"preparer-fido-a-la-visite-chez-le-veterinaire-3","Préparer Fido à la visite chez le vétérinaire","create"
67215,"pose-la-tete-5","Pose la tête","create"
67212,"donne-la-patte-4","Donne la patte","create"
67200,"la-socialisation-2","La socialisation","create"
67193,"le-marqueur-3","Le marqueur","create"
67005,"et-les-methodes-deducation-dans-tout-ca","Et les méthodes d'éducation dans tout ça ?","create"
67003,"le-fameux-dilemme-de-la-cage","Le fameux dilemme de la cage !","create"
67001,"les-premiers-jours","Les premiers jours","create"
66981,"choisir-sa-race-et-son-eleveur","Choisir sa race et son éleveur","create"
66921,"socialisation-langage-canin","Socialisation - Langage canin","create"
66911,"outils-dentrainement-2","Outils d'entraînement","create"
66909,"bienvenue-dans-chiot-101","Bienvenue dans chiot 101 !","create"
66907,"bienvenue-a-fido","Bienvenue à Fido !","create"
66853,"sauts-et-mordillements","Sauts et mordillements","create"
66828,"preparer-fido-a-la-visite-chez-le-veterinaire","Préparer Fido à la visite chez le vétérinaire","create"
66825,"apprendre-la-solitude","Apprendre la solitude","create"
66744,"pose-la-tete-3","Pose la tête","create"
66742,"aimer-les-manipulations-2","Aimer les manipulations","create"
66726,"pose-la-tete-2","Pose la tête","create"
66723,"aimer-les-manipulations","Aimer les manipulations","create"
66709,"les-manipulations","Les manipulations","create"
66705,"pose-la-tete","Pose la tête","create"
66704,"menton","Menton","create"
66686,"linterrupteur-de-comportement","L'interrupteur de comportement","create"
66634,"aimer-sa-cage","Aimer sa cage","create"
66628,"aimer-la-voiture","Aimer la voiture","create"
66614,"la-marche","La marche","create"
66613,"le-rappel","Le rappel","create"
66612,"le-coucher","Le coucher","create"
66610,"le-assis","Le assis","create"
66564,"laspirateur","L'aspirateur","create"
66536,"interactions-avec-les-enfants","Interactions avec les enfants","create"
66531,"on-echange","Vols d'objets et protection de ressources: On échange?","create"
66530,"interactions-avec-le-chat-ou-le-lapin","Interactions avec le chat (ou le lapin)","create"
66514,"les-mordillements-3","Les mordillements","create"
66447,"les-mordillements-2","Les mordillements","create"
66444,"les-sauts-2","Les sauts","create"
66162,"exercices","Exercices","create"
66161,"vols-dobjets-et-protection-de-ressources","Vols d'objets et protection de ressources","create"
66160,"lapproche-positive","L'approche positive","create"
66159,"le-lache","Le ""lâche""","create"
66080,"le-marqueur","Le marqueur","create"
66079,"materiel","Outils d'entraînement","create"
66078,"fonctionnement-du-cours","Bienvenue","create"
65870,"tours-pour-samuser","Tours pour s'amuser","create"
65869,"autocontroles","Autocontrôles et focus","create"
65868,"obeissance-2","Obeissance","create"
65867,"apprendre-lindependance","Apprendre l'indépendance","create"
65865,"jeu-du-tapis","Jeu du tapis","create"
65864,"harnais-collier","Harnais/collier/manteau","create"
65863,"soins-veterinaire","Soins vétérinaire","create"
65862,"toilettage","Toilettage","create"
65861,"donne-la-patte-2","Donne la patte","create"
65860,"jeu-entre-chiens-2","Jeu entre chiens","create"
65859,"langage-canin-2","Langage canin","create"
65857,"manipulations","Manipulations","create"
65854,"socialisation","La socialisation","create"
64678,"socialisation-a-lenvironnement","socialisation à l'environnement","create"
64675,"jeu-entre-chiens","Jeu entre chiens","create"
64674,"langage-canin","Langage canin","create"
56816,"module-5-enfin-pret-pour-les-competitions","Module 5  - Enfin prêt pour les compétitions","create"
56809,"module-4","Module 4 - Dernière lignes droites","create"
56808,"module-3","Module 3 - On augmente la difficulté!","create"
56807,"module-2","Module 2 - L'introduction à différentes figures","create"
56806,"module-1","Module 1 - Les bases fondamentales","create"
54897,"live-jeremy-serindat","Live - Jérémy Serindat","create"
54058,"ressources-du-module-2","Ressources du module 2","create"
54057,"exercices-du-module-2","Exercices du module 2","create"
54056,"theorie-du-module-2","Théorie du module 2","create"
53726,"sessions-de-questions-reponses","Sessions de questions & réponses","create"
52943,"9-aout-2020-ken-ramirez","9 août 2020 - Ken Ramirez","create"
52942,"8-aout-2020-ken-ramirez","8 août 2020 - Ken Ramirez","create"
49955,"etudes-scientifiques-2","Études scientifiques","create"
49954,"videos","Vidéos","create"
49783,"etudes-scientifiques","Études scientifiques","create"
49782,"videos-complementaires","Vidéos complémentaires","create"
49781,"partie-2-causes-consequences-et-traitements-comportementaux-simonne-raffa","Partie 2 - Causes, conséquences et traitements comportementaux - Simonne Raffa","create"
49390,"deuxieme-partie","Deuxième partie","create"
46446,"bonus-le-touch-avance","BONUS : Le touch avancé","create"
46444,"bonus-reste","BONUS : Reste","create"
46442,"bonus-jeu-avec-le-trottoir","BONUS : Jeu avec le trottoir","create"
46439,"bonus-pitou-refuse-davancer","BONUS : Pitou refuse d'avancer?","create"
46435,"bonus-la-depense-denergie","BONUS : La dépense d'énergie","create"
44593,"acces-a-la-formation","Accès à la formation","create"
43889,"message-important","Message important!","create"
42110,"andreanne-repond-a-vos-questions","Andréanne répond à vos questions!","create"
40676,"introduction-22","Introduction","create"
38765,"questions-reponses-6","Questions & Réponses","create"
38764,"le-contenu-de-la-formation","Le contenu de la formation","create"
38763,"a-savoir","À savoir!","create"
38302,"assis-automatique","Assis automatique","create"
38296,"saurais-tu-faire-comme-kahlo","Saurais-tu faire comme Kahlo ?","create"
38295,"la-commande-laisse","La commande Laisse","create"
38294,"plus-lentement-tu-iras-plus-vite-tu-lauras","Plus lentement tu iras... plus vite tu l'auras !","create"
38293,"la-theorie-derriere-la-pratique","La théorie derrière la pratique","create"
38292,"ordre-du-jour-5","Ordre du jour","create"
38250,"la-commande-de-liberation","La commande de libération","create"
38247,"les-distractions-selon-premack","Les distractions selon Premack","create"
38245,"ordre-du-jour-2","Ordre du jour","create"
37669,"la-cage-et-lenclos-un-outil-de-decompressions-lors-de-competitions-canines","La cage et l'enclos, un outil de décompressions lors de compétitions canines","create"
37667,"les-avantages-et-les-inconvenients-de-garder-la-cage","Les avantages et les inconvénients de garder la cage","create"
37665,"quand-et-comment-laisser-plus-de-liberte-a-votre-chien","Quand et comment laisser plus de liberté à votre chien?","create"
37659,"comment-apprendre-a-votre-chien-a-entrer-dans-la-cage","Comment apprendre à votre chien à entrer dans la cage?","create"
37572,"votre-webinaire","Votre webinaire","create"
37557,"francis-repond-a-vos-questions","Francis répond à vos questions!","create"
37555,"comment-resoudre-le-casse-tete-de-vos-finances","Comment résoudre le casse-tête de vos finances?","create"
34992,"presentations","Présentations et plan de cours","create"
34975,"la-difference-dage-entre-les-chiens-a-t-elle-vraiment-un-impact-2","La différence d'âge entre les chiens a-t-elle vraiment un impact?","create"
34974,"limiter-le-jeu-entre-les-chiens-pour-un-meilleur-focus","Limiter le jeu entre les chiens pour un meilleur focus?","create"
34973,"mon-chien-peut-il-etre-jaloux-2","Mon chien peut-il être jaloux?","create"
34972,"la-cohabitation-entre-femelles","La cohabitation entre femelles","create"
34959,"les-limites-de-ce-cours-pour-la-protection-des-ressources-2","Les limites de ce cours pour la protection des ressources","create"
34958,"mise-en-situation-quoi-faire","Mise en situation - Quoi faire?","create"
34957,"comment-travailler-en-r-avec-de-la-pr","Comment travailler en R+ avec de la PR?","create"
34953,"comment-prevenir-les-chicanes-2","Comment prévenir les chicanes?","create"
34952,"quand-et-comment-intervenir-dans-un-conflit-2","Quand et comment intervenir dans un conflit?","create"
34951,"quest-ce-qui-provoque-les-conflits-3","Qu'est-ce qui provoque les conflits?","create"
34930,"le-choix-et-lapplication-des-outils-de-gestion","Le choix et l'application des outils de gestion","create"
34929,"comment-gere-ces-zones","Comment géré ces zones?","create"
34928,"quest-ce-quune-zone-sensible","Qu'est-ce qu'une zone sensible?","create"
34927,"les-outils-essentiels-2","Les outils essentiels","create"
34926,"les-outils-actifs-2","Les outils actifs","create"
34925,"les-outils-passifs-3","Les différents outils","create"
34815,"comment-bien-placer-mon-environnement","Comment bien placer mon environnement?","create"
34814,"abby-enzo-le-herding-entre-chiens-de-berger","Abby & Enzo - Le herding entre chiens de berger","create"
34813,"kassaka-basil-la-facilitation-social","Kassaka & Basil - La facilitation social","create"
34812,"kassaka-basil-protection-des-ressources","Kassaka & Basil - Protection des ressources","create"
34811,"kassaka-basil-sensibilite-aux-mouvements","Kassaka & Basil - Sensibilité aux mouvements","create"
34810,"la-difference-dage-entre-les-chiens-a-t-elle-vraiment-un-impact","La différence d'âge entre les chiens a-t-elle vraiment un impact?","create"
34809,"limiter-le-jeu-entre-mes-chiens-pour-un-meilleur-focus","Limiter le jeu entre mes chiens pour un meilleur focus?","create"
34808,"mon-chien-peut-il-etre-jaloux","Mon chien peut-il être jaloux?","create"
34807,"la-cohabitation-entre-femelles-est-elle-possible","La cohabitation entre femelles est-elle possible?","create"
34806,"le-chef-de-meute","Le chef de meute","create"
34805,"la-gestion-des-chaleurs","La gestion des chaleurs","create"
34804,"limportance-de-la-sterilisation-au-quebec","L'importance de la stérilisation au Québec","create"
34803,"lanxiete-de-separation","L'anxiété de séparation","create"
34802,"les-promenades-en-voiture","Les promenades en voiture","create"
34801,"larrivee-de-la-visite","L'arrivée de la visite","create"
34800,"les-jappements","Les jappements","create"
34799,"le-rappel-avec-plusieurs-chiens","Le rappel avec plusieurs chiens","create"
34798,"les-promenades","Les promenades","create"
34797,"lentrainement-au-jeu","L'entraînement au jeu","create"
34796,"comment-gerer-lentrainement-a-plusieurs-chiens","Comment gérer l'entraînement à plusieurs chiens?","create"
34795,"les-limites-de-ce-cours-pour-la-protection-des-ressources","Les limites de ce cours pour la protection des ressources","create"
34794,"quoi-faire","Quoi faire?","create"
34793,"travailler-en-r-avec-de-la-protection-des-ressources","Travailler en R+ avec de la protection des ressources","create"
34792,"la-gestion-de-la-protection-des-ressources","La gestion de la protection des ressources","create"
34791,"activites-le-partage-de-votre-attention","Activités & le partage de votre attention","create"
34790,"le-bon-jeu-et-le-mauvais-jeu-canin-2","Le bon jeu et le mauvais jeu canin","create"
34789,"comment-prevenir-les-chicanes","Comment prévenir les «chicanes»?","create"
34788,"quand-et-comment-intervenir-dans-un-conflit","Quand et comment intervenir dans un conflit?","create"
34787,"quest-ce-qui-provoque-les-conflits-2","Qu'est-ce qui provoque les conflits?","create"
34786,"comprendre-le-langage-canin","Comprendre le langage canin","create"
34785,"trucs-astuces-pour-gerer-les-premieres-semaines","Trucs & astuces pour gérer les premières semaines","create"
34784,"introduire-le-chien-au-chat-ou-vice-versa","Introduire le chien au chat ou vice-versa","create"
34783,"planifier-la-premiere-rencontre","Planifier la première rencontre","create"
34782,"la-relation-entre-2-chiens","La relation entre 2 chiens","create"
34781,"comment-bien-choisir-son-nouveau-chien","Comment bien choisir son nouveau chien?","create"
34780,"comment-bien-choisir-son-nouveau-chiot","Comment bien choisir son nouveau chiot","create"
34779,"les-choix-et-lapplication-des-outils-de-gestion","Les choix et l'application des outils de gestion","create"
34778,"les-zones-sensibles-2","Les zones sensibles","create"
34777,"pourquoi-utiliser-des-outils-de-gestion","Pourquoi utiliser des outils de gestion?","create"
34776,"les-outils-essentiels","Les outils essentiels","create"
34775,"les-outils-actifs","Les outils actifs","create"
34774,"les-outils-passifs-2","Les outils passifs","create"
34772,"les-outils-passifs","Pourquoi utiliser les outils de gestion","create"
34768,"introduction-presentation","Introduction & présentation","create"
34737,"ne-jamais-utilisee-la-cage-quand","Ne JAMAIS utilisée la cage quand...","create"
33050,"periode-de-questions-reponses-2","Période de questions & réponses","create"
33047,"les-fondations-du-travail-en-r-du-cheval-2","Les fondations du travail en R+ du cheval","create"
33045,"periode-de-questions-reponses","Période de questions & réponses","create"
33043,"les-fondations-du-travail-en-r-du-cheval","Les fondations du travail en R+ du cheval","create"
32548,"partie-2-le-jeu-entre-chien-avec-claudine-prudhomme","Partie 2 - Le jeu entre chien avec Claudine Prud'homme","create"
32544,"partie-1-le-jeu-entre-chien-avec-claudine-prudhomme","Partie 1 - Le jeu entre chien avec Claudine Prud'homme","create"
32539,"le-jeu-entre-chien-avec-claudine-prudhomme","Le jeu entre chien avec Claudine Prud'homme Partie !","create"
32377,"la-chandelle","Scoot (demi-tour)","create"
32338,"quest-ce-quun-rappel-parfait","Qu'est-ce qu'un rappel parfait ?","create"
32319,"le-challenge-ultime","Le challenge ultime","create"
32318,"le-merveilleux-concept-de-premack","Le merveilleux concept de Premack !!","create"
32317,"rappel-autour-du-monde-2","Rappel autour du monde","create"
32316,"rappel-en-ping-pong-2","Rappel en Ping Pong","create"
32313,"comment-ruiner-votre-rappel-2","Comment ruiner votre rappel ;)","create"
32238,"augmenter-la-difficulte-avec-des-defis","Augmenter la difficulté.... Avec des défis !","create"
32236,"le-plus-merveilleux-principe-du-monde-premack","Le plus merveilleux principe du monde... PREMACK!!!","create"
32223,"rappel-autour-du-monde","Rappel Autour du monde  !","create"
32222,"rappel-ping-pong","Rappel Ping Pong","create"
32113,"poursuivre-sa-pratique-des-sports-atteles","Poursuivre sa pratique des sports attelés","create"
31476,"quest-ce-quun-rappel-reussis","Qu'est-ce qu'un rappel réussis ?","create"
31428,"les-conflits","Les conflits","create"
31328,"defi-rappel","Défi Rappel !","create"
31327,"le-rappel-en-premack","Le rappel en premack","create"
31326,"augmenter-graduellement-la-difficulte","Augmenter graduellement la difficulté","create"
31325,"autour-du-monde","Autour du monde !","create"
31324,"rappel-en-ping-pong","Rappel en ping pong","create"
31323,"comment-ruiner-votre-rappel","Comment ruiner votre rappel !","create"
31216,"questions-reponses-3","Questions & Réponses","create"
31215,"webinaire-pro-labc-du-freestyle-canin","Webinaire pro - L'ABC du freestyle canin","create"
29733,"demonstration-seph-apprend-ses-commandes-lors-dune-promenade","Démonstration - Seph apprend ses commandes lors d'une promenade","create"
29722,"les-outils-de-gestions-actifs","Les outils de gestions actifs","create"
28933,"accedez-a-votre-webinaire-a-la-periode-de-questions-avant-le-28-aout","Accédez à votre Webinaire & à la période de questions (Avant le 28 août)","create"
28873,"le-mot-de-la-fin-13","Le mot de la fin","create"
28872,"accedez-a-votre-contenu","Accédez à votre contenu","create"
28871,"accedez-a-vos-ressources-telechargeables","Accédez à vos ressources téléchargeables!","create"
28870,"une-toute-nouvelle-formation","Une toute nouvelle formation!","create"
25468,"partie-3-tourner-autour","Partie 3 - Tourner autour","create"
25464,"partie-2-assis","Partie 2 - Assis","create"
25461,"1-assis","Partie 1 - Assis","create"
25459,"la-methode-infaillible-pour-apprendre-une-commande","La méthode infaillible pour apprendre une commande","create"
22177,"participation-au-webinaire","Participation au webinaire","create"
21944,"introduction-18","Introduction","create"
20632,"introduction-17","Introduction","create"
20448,"harmonie-pour-la-maisonnee-multi-chiens-est-en-construction","Harmonie pour la maisonnée multi-chiens est en construction","create"
20442,"soyez-au-courant","Soyez au courant!","create"
20432,"moi-et-mes-chiens","Moi et mes chiens","create"
19502,"a-venir-etudes-de-cas","À Venir : Études de Cas","create"
18662,"les-attaches-et-la-vraie-vie","Les attaches et la vraie vie","create"
17793,"la-structure-et-lorganisation-du-cours","La structure et l’organisation du cours","create"
17605,"cours-en-restructuration","Cours en Restructuration","create"
17542,"seminaire-en-restructuration","Séminaire en restructuration","create"
17518,"plan-du-seminaire","Plan du séminaire","create"
17512,"seminaire-en-construction","Séminaire en Construction","create"
17079,"minibinaire-les-5-pires-solutions-pour-faire-cesser-les-mordillements","Minibinaire - Les 5 PIRES solutions pour faire cesser les mordillements","create"
16115,"conclusion-8","Conclusion","create"
14820,"la-liste-ultime-pour-une-balade-sereine-aide-memoire-et-bonus","La liste ultime pour une balade sereine - Aide mémoire et bonus","create"
14485,"bonus-je-suis-calme-lorsque-je-suis-enferme","Bonus : Je suis calme lorsque je suis enfermé","create"
13327,"apprendre-a-demander-daller-a-lexterieur","Apprendre à demander d'aller à l'extérieur","create"
13325,"les-pipis-dexcitation-lorsque-les-gens-arrivent-a-la-maison","Les pipis d'excitation / lorsque les gens arrivent à la maison","create"
13322,"avant-de-commencer-2","Avant de commencer","create"
13243,"live-sur-la-reactivite-questions-et-reponses","Live sur la réactivité - Questions et réponses","create"
13224,"mes-reponses","Mes réponses","create"
13223,"introduction-16","Introduction","create"
13164,"les-problemes-et-erreurs-dentrainement-a-eviter","Les Problèmes et Erreurs d'entraînement à éviter","create"
13149,"foire-aux-questions","Les Questions récurrentes au sujet de la cage","create"
13122,"ramper-2","Ramper","create"
13062,"sauter-au-dessus-de-la-jambe","Sauter au-dessus de la Jambe","create"
13061,"la-reverence","La révérence","create"
13060,"le-damoiseau-la-demoiselle","Le Damoiseau/La Demoiselle","create"
12981,"fondations","fondations","create"
12980,"prerequis","prérequis","create"
12978,"avant-de-commencer","avant de commencer","create"
12976,"test-2","test","create"
12484,"rappel-sur-la-routine-de-depart","Rappel sur la routine de départ","create"
12415,"conclusion-6","Conclusion","create"
12414,"partie-8","Partie 8","create"
12413,"partie-7","Partie 7","create"
12412,"partie-6","Partie 6","create"
12411,"partie-5","Partie 5","create"
12410,"partie-4-3","Partie 4","create"
12409,"partie-3-3","Partie 3","create"
12408,"partie2","Partie 2","create"
12407,"partie1","Partie 1","create"
12406,"bienvenue-dans-votre-formation","Bienvenue dans votre formation","create"
12392,"conclusion-5","Conclusion","create"
12391,"partie-4-2","Partie 4","create"
12390,"partie-3-2","Partie 3","create"
12389,"partie-2-2","Partie 2","create"
12388,"partie-1-2","Partie 1","create"
12387,"bienvenue-dans-le-seminaire-sur-la-tenue-de-consultations","Bienvenue dans le séminaire sur la Tenue de consultations","create"
12384,"conclusion-4","Conclusion","create"
12383,"partie-4","Partie 4","create"
12382,"partie-3","Partie 3","create"
12381,"partie-2","Partie 2","create"
12380,"partie-1","Partie 1","create"
12379,"bienvenue-dans-la-formation","Bienvenue dans la formation","create"
12304,"comment-passer-a-la-prochaine-etape","Quand passer à la prochaine étape","create"
12162,"choix-du-terrain","Choix du terrain","create"
12037,"bienvenue","Bienvenue","create"
12023,"mot-de-bienvenue-2","Mot de bienvenue!","create"
11506,"sessuyer-les-pattes-sur-une-serviette","S'essuyer les pattes sur une serviette","create"
11492,"conclusion-3","Conclusion","create"
11489,"tour-mystere-3","Tour mystère!","create"
11488,"lever-les-pattes","Lever les pattes","create"
11486,"reculer-dans-les-marches","Reculer dans les marches","create"
11484,"tour-mystere-2","Tour mystère!","create"
11483,"tour-mystere","Tour mystère!","create"
11482,"reculer-sur-un-objet","Reculer sur un objet","create"
11481,"la-planche-a-roulette","1er Août 2018","create"
11480,"rouler-la-balle","Rouler la balle","create"
11478,"les-sauts","Les sauts","create"
11475,"le-slalom-2","Les slaloms","create"
11474,"plusieurs-types-de-saut","Les sauts","create"
11466,"tourne-horaire","Tourne! Dans un sens comme dans l'autre","create"
11462,"la-cible-2-le-museau","La cible 2 : Le museau","create"
11461,"la-cible-1-la-patte","La cible 1 : La patte","create"
11437,"rehabiliter-un-chien-qui-a-pris-lhabitude-de-faire-ses-besoins-sur-lui-meme-ou-dans-sa-cage","Réhabiliter un chien qui a pris l'habitude de faire ses besoins sur lui-même ou dans sa cage","create"
11423,"lutilisation-dune-piece-de-restriction-ou-de-la-cage","L'utilisation d'une pièce de restriction ou de la cage","create"
11367,"les-erreurs-frequentes-en-entrainement","Les erreurs fréquentes en entraînement","create"
11145,"au-revoir","Au revoir!","create"
11143,"tours-attention-focus-musculation-et-proprioception","Tours, attention, focus, musculation et proprioception","create"
11142,"tour-vers-la-droite-tour-vers-la-gauche","Tour vers la droite/Tour vers la gauche","create"
11141,"devrait-on-ou-non-indiquer-lechec-le-vilain-nrm","Devrait-on ou non indiquer l'échec ? (Le vilain NRM)","create"
11140,"faire-des-sequences-et-baisser-le-nombre-de-recompense","Faire des séquences et baisser le nombre de récompense","create"
11139,"jouets-nourritures-et-techniques-de-renforcement","Jouets, nourritures et techniques de renforcement","create"
11138,"des-mots-clairs","Des mots clairs!","create"
11137,"ameliorer-la-distinction-des-commandes","Améliorer la distinction des commandes","create"
11135,"ramper","Ramper","create"
11134,"reculer-2","Reculer","create"
11133,"la-belle","La belle","create"
11132,"la-grande","La grande","create"
11131,"sauter-par-dessus-la-jambe","Sauter par dessus la jambe","create"
11130,"le-slalom","Le slalom","create"
11129,"la-cible-2","La cible","create"
11126,"bonjour-et-bienvenue","Bonjour et bienvenue!","create"
10929,"rappels-importants-conclusion","Rappels importants & conclusion","create"
10928,"comment-jongler-avec-differents-parametres-exemple-de-plan-explications-live","Comment jongler avec différents paramètres (exemple de plan + explications LIVE)","create"
10927,"letat-dexcitation","L'état d'excitation","create"
10926,"les-warm-up","Les « Warm-up »","create"
10925,"etudes-de-cas-comment-oublier-ces-elements-mene-au-fiasco","Études de cas : Comment oublier ces éléments mène au fiasco!","create"
10924,"entrainer-avec-un-plan-a-quoi-ca-sert","Entraîner avec un plan, à quoi ça sert?","create"
10729,"recapitulatif-des-notions-apprises-et-ressources-complementaires","Récapitulatif des notions apprises et ressources complémentaires","create"
10726,"comment-etre-un-liant-entre-vos-partenaires-et-clients","Comment être un liant entre vos partenaires et clients","create"
10725,"le-principe-dengagement-progressif","Le principe d'engagement progressif","create"
10723,"les-offres-speciales-groupes-restreints","Les erreurs à éviter : Les offres spéciales & groupes restreints","create"
10722,"le-langage-utilise-lors-de-publications-et-son-impact","Étude de cas : Le langage utilisé lors des communications et son impact","create"
10721,"lutilisation-de-forums-et-de-groupes-facebook","L'utilisation de forums et de groupes Facebook","create"
10720,"le-besoin-de-communaute-chez-lhumain","Le besoin de communauté chez l'humain","create"
10719,"comment-lesprit-de-communaute-a-ete-utilise-par-les-grandes-entreprises","Comment l'esprit de communauté a été utilisé par les grandes entreprises","create"
10718,"labc-de-lesprit-de-communaute","L'ABC de l'esprit de communauté","create"
10458,"pratique-de-la-lecture-du-langage-corporel-canin","Pratique de la lecture du langage corporel canin","create"
10201,"votre-programme-en-seulement-2-minute-par-jour-pour-jouer-a-la-chasse-a-la-croquette","Votre programme en seulement 2 minute par jour pour jouer à la chasse à la croquette","create"
10200,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-descends","Votre programme en seulement 2 minute par jour pour entraîner « Descends »","create"
10199,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-le-va-dans-ton-panier","Votre programme en seulement 2 minute par jour pour entraîner le « Va dans ton panier »","create"
10198,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-la-station","Votre programme en seulement 2 minute par jour pour entraîner la station","create"
10197,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-votre-chat-a-dire-encore-ou-non-merci","Votre programme en seulement 2 minute par jour pour entraîner votre chat à dire « Encore » ou « Non merci »","create"
10196,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-le-rappel","Votre programme en seulement 2 minute par jour pour entraîner le rappel","create"
10195,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-assis","Votre programme en seulement 2 minute par jour pour entraîner Assis","create"
10194,"votre-programme-en-seulement-2-minute-par-jour-pour-entrainer-la-cible","Votre programme en seulement 2 minute par jour pour entraîner la cible","create"
10146,"les-jappements-lies-a-lennui-2","Les jappements liés à l'ennui","create"
10120,"comment-entrainer-la-course-a-la-croquette","Comment entraîner la course à la croquette","create"
10119,"pourquoi-entrainer-la-course-a-la-croquette","Pourquoi entraîner la course à la croquette","create"
10118,"comment-entrainer-la-commande-descends","Comment entraîner la commande Descends","create"
10117,"pourquoi-entrainer-la-commande-descends","Pourquoi entraîner la commande Descends","create"
10099,"des-cours-dobeissance-pour-minet-quelle-drole-didee","Des cours d'obéissance pour minet? Quelle drôle d'idée!","create"
10098,"le-mot-de-la-fin-9","Le mot de la fin!","create"
9646,"section-bonus","Section bonus!","create"
9484,"gestion-des-problemes-dans-les-cours-de-groupe","Gestion des problèmes dans les cours de groupe","create"
